Size;Time [ms];TimeStd;Comparisons;ComparisonsStd;Swaps;SwapsStd;AlwaysSorted;AlwaysStable
0;0,000000000000;0,000000000000;0,000000000000;0,000000000000;0,000000000000;0,000000000000;true;true
2;0,000000000000;0,000000000000;1,000000000000;0,000000000000;1,000000000000;0,000000000000;true;true
4;0,000000000000;0,000000000000;8,000000000000;0,000000000000;6,000000000000;0,000000000000;true;true
8;0,000000000000;0,000000000000;40,000000000000;0,000000000000;28,000000000000;0,000000000000;true;true
16;0,000000000000;0,000000000000;176,000000000000;0,000000000000;120,000000000000;0,000000000000;true;true
32;0,000000000000;0,000000000000;736,000000000000;0,000000000000;496,000000000000;0,000000000000;true;true
64;0,000000000000;0,000000000000;3008,000000000000;0,000000000000;2016,000000000000;0,000000000000;true;true
128;0,000000000000;0,000000000000;12160,000000000000;0,000000000000;8128,000000000000;0,000000000000;true;true
256;1,550000000000;4,652687395474;48896,000000000000;0,000000000000;32640,000000000000;0,000000000000;true;true
512;0,800000000000;3,487119154833;196096,000000000000;0,000000000000;130816,000000000000;0,000000000000;true;true
1024;2,250000000000;4,252940159466;785408,000000000000;0,000000000000;523776,000000000000;0,000000000000;true;true
2048;8,250000000000;7,448993220563;3143680,000000000000;0,000000000000;2096128,000000000000;0,000000000000;true;true
4096;33,400000000000;7,066823897622;12578816,000000000000;0,000000000000;8386560,000000000000;0,000000000000;true;true
8192;113,500000000000;3,905124837954;50323456,000000000000;0,000000000000;33550336,000000000000;0,000000000000;true;true
16384;454,800000000000;4,445222154176;201310208,000000000000;0,000000000000;134209536,000000000000;0,000000000000;true;true
